dpid	is_food	hp_cal_dt	dpid	gender	age_range	occupation_dm	city_name	phone_model	brand	mobile_os	begin_hour	end_hour	cnt_search	ugc_reviewcnt	ugc_notecnt	ugc_checkincnt	ugc_freshcnt
1ce3cb921de744e685b5755cc0b3f5daa160599890418897891	0	2021-08-29	1ce3cb921de744e685b5755cc0b3f5daa160599890418897891	female	20~25	学生	沈阳	NULL	NULL	ios	12:59	12:59	1	9	3	1	1
1ce6210cd7c94500bf22d976a4c24c60a159286133653102683	0	2021-08-29	1ce6210cd7c94500bf22d976a4c24c60a159286133653102683	male	35~40	白领	深圳	NULL	NULL	android	14:59	14:59	1	2	2	1	2
1ce68a9c72684c748ff2ce99e501d480a161621104319449980	0	2021-08-29	1ce68a9c72684c748ff2ce99e501d480a161621104319449980	male	20以下	其他	廊坊	NULL	NULL	ios	22:59	22:59	NULL	NULL	NULL	NULL	NULL
1ce6ce0abf4744cdad9d7500ef0dfa04a162972127634760702	0	2021-08-29	1ce6ce0abf4744cdad9d7500ef0dfa04a162972127634760702	female	35~40	其他	大理州	NULL	NULL	android	12:59	12:59	NULL	2	2	1	1
1ce6ff197fb9497d8cd9515c0896cfae0000000000000669129	0	2021-08-29	1ce6ff197fb9497d8cd9515c0896cfae0000000000000669129	male	20~25	其他	深圳	NULL	NULL	android	01:59	01:59	1	6	1	1	1
1ce88c0447c745379cbc33b4e221d698a162836490939225653	0	2021-08-29	1ce88c0447c745379cbc33b4e221d698a162836490939225653	female	30~35	其他	北京	NULL	NULL	android	19:59	19:59	NULL	3	3	1	1
1ce9ca091e824e52b9d36308eb92f24ba151987724431904357	1	2021-08-29	1ce9ca091e824e52b9d36308eb92f24ba151987724431904357	male	20~25	白领	南宁	NULL	NULL	ios	19:59	19:59	NULL	40	16	1	2
1ceabc4cdf344196a0e6a87b7d228abfa156176319258282772	1	2021-08-29	1ceabc4cdf344196a0e6a87b7d228abfa156176319258282772	female	25~30	其他	北京	NULL	NULL	ios	16:59	16:59	1	57	28	1	1
1cec6b64878b49629e7cf5e246887d3fa162320344551067732	0	2021-08-29	1cec6b64878b49629e7cf5e246887d3fa162320344551067732	female	30~35	其他	北京	NULL	NULL	ios	12:59	12:59	3	9	4	1	3
1cecae56de8044e0b46ff624c57bb616a157105368166564544	0	2021-08-29	1cecae56de8044e0b46ff624c57bb616a157105368166564544	male	35~40	白领	沈阳	NULL	NULL	android	19:59	19:59	5	3	7	1	1
1ced30a855544220a7bd2357f6a07598a161866731206507060	0	2021-08-29	1ced30a855544220a7bd2357f6a07598a161866731206507060	male	25~30	白领	广州	NULL	NULL	android	09:59	09:59	NULL	1	1	1	1
1cef02fe175c42cf8878f01050c3190aa157472250288658524	0	2021-08-29	1cef02fe175c42cf8878f01050c3190aa157472250288658524	female	40以上	学生	杭州	NULL	NULL	ios	16:59	16:59	1	10	2	1	1
1cef5c4da47d47caa18146c9c21390f4a153574917595045169	0	2021-08-29	1cef5c4da47d47caa18146c9c21390f4a153574917595045169	male	40以上	白领	上海	NULL	NULL	android	19:59	19:59	NULL	NULL	NULL	NULL	NULL
1cefd1093e5447bcba41c87b10637262a160506432928335367	0	2021-08-29	1cefd1093e5447bcba41c87b10637262a160506432928335367	male	30~35	白领	南京	NULL	NULL	android	06:59	06:59	2	11	4	1	1
1cf2629a316d4e9cae3f8e521afe5731a159744653609851040	1	2021-08-29	1cf2629a316d4e9cae3f8e521afe5731a159744653609851040	female	25~30	白领	南京	NULL	NULL	ios	19:59	19:59	1	98	54	1	3
1cf28e73f9a441d990513493a0f51c63a162061867845895524	1	2021-08-29	1cf28e73f9a441d990513493a0f51c63a162061867845895524	female	25~30	其他	成都	NULL	NULL	android	12:59	12:59	NULL	NULL	NULL	NULL	NULL
1cf297d2beba4a87aad19b423da932a4a162283019347605030	0	2021-08-29	1cf297d2beba4a87aad19b423da932a4a162283019347605030	female	25~30	白领	佛山	NULL	NULL	ios	09:59	09:59	NULL	3	2	1	1
1cf360298523439f9b5ad714df4a630fa158554150678185801	0	2021-08-29	1cf360298523439f9b5ad714df4a630fa158554150678185801	male	25~30	白领	温州	NULL	NULL	android	19:59	19:59	NULL	1	1	1	1
1cf3ebc3c1114b2495d1920bf002faf5a159899071419706792	0	2021-08-29	1cf3ebc3c1114b2495d1920bf002faf5a159899071419706792	female	20~25	白领	深圳	NULL	NULL	android	22:59	22:59	NULL	39	16	1	1
1cf495034d304c81af41bcbdc611ea74a158459213513018861	0	2021-08-29	1cf495034d304c81af41bcbdc611ea74a158459213513018861	female	20~25	其他	济南	NULL	NULL	ios	22:59	22:59	1	3	3	1	1
1cf501a8578d48ebac692880d40ece98a157235040865607633	0	2021-08-29	1cf501a8578d48ebac692880d40ece98a157235040865607633	female	30~35	其他	厦门	NULL	NULL	ios	19:59	19:59	3	20	2	1	1
1cf52e55b14140dea0a55dc66241d36ea156947586024385574	0	2021-08-29	1cf52e55b14140dea0a55dc66241d36ea156947586024385574	female	40以上	白领	福州	NULL	NULL	android	22:59	22:59	1	4	3	1	1
1cf5c4ad5a854b5090d1be95ce26fbbea159295288158295040	0	2021-08-29	1cf5c4ad5a854b5090d1be95ce26fbbea159295288158295040	female	40以上	其他	哈尔滨	NULL	NULL	android	12:59	12:59	1	19	3	1	1
1cf69de483ea4d25935d49976029f230a160947509681698090	0	2021-08-29	1cf69de483ea4d25935d49976029f230a160947509681698090	unknown	NULL	其他	上海	NULL	NULL	ios	16:59	16:59	6	63	17	1	4
1cf969cf9412487fae703e9d77bbb27da158000748031919594	1	2021-08-29	1cf969cf9412487fae703e9d77bbb27da158000748031919594	male	25~30	其他	上海	NULL	NULL	android	19:59	19:59	1	1	1	1	1
1cfb46c858564b2db84d9aeef6b4a16ca156867043949695544	0	2021-08-29	1cfb46c858564b2db84d9aeef6b4a16ca156867043949695544	male	20~25	学生	北京	NULL	NULL	ios	16:59	16:59	1	5	2	1	1
1cfd04e0d30d47f7a7beed2c2332026ba157108201087034930	0	2021-08-29	1cfd04e0d30d47f7a7beed2c2332026ba157108201087034930	female	30~35	学生	郑州	NULL	NULL	android	19:59	19:59	NULL	2	1	1	1
1cfd5b20062e4293b189690f50b274c6a155927506040231030	0	2021-08-29	1cfd5b20062e4293b189690f50b274c6a155927506040231030	female	20~25	其他	台州	NULL	NULL	android	22:59	22:59	NULL	2	1	1	1
1cfe62609e3f4dcd9b2c9a1a70d1ae7aa151941356682215010	0	2021-08-29	1cfe62609e3f4dcd9b2c9a1a70d1ae7aa151941356682215010	female	25~30	白领	武汉	NULL	NULL	ios	16:59	16:59	NULL	2	1	1	1
1cfe896b418944b0bd4f4b344178ff0ea161091090189040920	0	2021-08-29	1cfe896b418944b0bd4f4b344178ff0ea161091090189040920	male	20~25	白领	上海	NULL	NULL	ios	12:59	12:59	1	2	2	1	1
1d013dbba1cd4037a8d953c8a9b65966a157360879962518218	0	2021-08-29	1d013dbba1cd4037a8d953c8a9b65966a157360879962518218	female	20~25	白领	东莞	NULL	NULL	ios	12:59	12:59	NULL	1	1	1	1
1d032fafea0f4b028300d08eba2af2bba153831491946525090	1	2021-08-29	1d032fafea0f4b028300d08eba2af2bba153831491946525090	male	40以上	其他	广州	NULL	NULL	android	19:59	19:59	NULL	6	2	1	1
1d03b93253404a4ea1c771f24461e59aa161939083158221208	0	2021-08-29	1d03b93253404a4ea1c771f24461e59aa161939083158221208	unknown	NULL	学生	泉州	NULL	NULL	ios	19:59	19:59	NULL	4	2	1	1
1d04f06d7636414fbf5baf9d8611f75ba157894606227051722	1	2021-08-29	1d04f06d7636414fbf5baf9d8611f75ba157894606227051722	male	30~35	白领	上海	NULL	NULL	ios	19:59	19:59	4	22	10	1	1
1d05a2552bd2481796dfcd5fc407ee7ea158757229880732772	0	2021-08-29	1d05a2552bd2481796dfcd5fc407ee7ea158757229880732772	male	30~35	其他	上海	NULL	NULL	ios	12:59	12:59	4	4	1	1	2
1d05edee7c214ca1915b79ae2789ea7ea159612381728966496	0	2021-08-29	1d05edee7c214ca1915b79ae2789ea7ea159612381728966496	male	20以下	其他	九江	NULL	NULL	ios	06:59	06:59	1	5	3	1	1
1d05f50d6cf940e8a5280f77118b87430000000000004473940	0	2021-08-29	1d05f50d6cf940e8a5280f77118b87430000000000004473940	male	30~35	白领	北京	NULL	NULL	ios	14:59	14:59	NULL	5	4	1	1
1d06037b54b94b27ae480ba2d67c9d9fa153098897070652504	0	2021-08-29	1d06037b54b94b27ae480ba2d67c9d9fa153098897070652504	female	30~35	白领	上海	NULL	NULL	ios	14:59	14:59	NULL	20	2	1	2
1d06cdfa0e3242ac9db881400038018fa161636860318609179	1	2021-08-29	1d06cdfa0e3242ac9db881400038018fa161636860318609179	male	30~35	其他	广州	NULL	NULL	android	12:59	12:59	NULL	2	2	1	1
1d073ec7cc7349c48e873c9793ba1bf8a158345774150299347	1	2021-08-29	1d073ec7cc7349c48e873c9793ba1bf8a158345774150299347	male	40以上	白领	上海	NULL	NULL	android	19:59	19:59	1	8	3	1	2
1d08172590364336b9cd0d02598df3a3a160483932832713881	0	2021-08-29	1d08172590364336b9cd0d02598df3a3a160483932832713881	male	25~30	白领	西安	NULL	NULL	android	19:59	19:59	1	1	1	1	1
1d0b25eaab5044e7a4a81493208634d4a161289007439477603	0	2021-08-29	1d0b25eaab5044e7a4a81493208634d4a161289007439477603	male	20~25	其他	济南	NULL	NULL	android	22:59	22:59	NULL	NULL	NULL	NULL	NULL
1d0dbfb382e140fba1b7bdbe8e9caaf1a161481842815837496	0	2021-08-29	1d0dbfb382e140fba1b7bdbe8e9caaf1a161481842815837496	male	30~35	白领	南京	NULL	NULL	ios	19:59	19:59	1	1	4	1	1
1d0e507b8e864265bebdfea09e696578a159088630677491851	1	2021-08-29	1d0e507b8e864265bebdfea09e696578a159088630677491851	female	40以上	其他	北京	NULL	NULL	android	16:59	16:59	NULL	3	1	1	1
